"id","anio","promedio_anual"
"NH0046",1973,16.4798630191781
"NH0046",1974,16.7671232876712
"NH0046",1975,16.8060273945205
"NH0046",1976,16.3258196857924
"NH0046",1977,17.1204109671233
"NH0046",1978,16.6478082164384
"NH0046",1979,16.7238356219178
"NH0046",1980,17.308196715847
"NH0046",1981,17.280547939726
"NH0046",1982,17.2834246520548
"NH0046",1983,17.0628767178082
"NH0046",1984,16.4
"NH0046",1985,17.4390411013699
"NH0046",1986,17.3836986356164
"NH0046",1987,17.1324657561644
"NH0046",1988,16.6741803224044
"NH0046",1989,17.5693150712329
"NH0046",1990,17.0691780794521
"NH0046",1991,16.8847527527473
"NH0046",1992,16.6852459016393
"NH0046",1993,16.9532876657534
"NH0046",1994,17.6395604395604
"NH0046",1995,17.1394520657534
"NH0046",1996,17.713661204918
"NH0046",1997,18.2654794520548
"NH0046",1998,17.0660274
"NH0046",1999,17.2230137041096
"NH0046",2000,17.1935792349727
"NH0046",2001,18.004931509589
"NH0046",2002,17.5794520520548
"NH0046",2003,17.4639726027397
"NH0046",2004,17.5625683032787
"NH0046",2005,17.1089041150685
"NH0046",2006,17.7378787796143
"NH0046",2007,16.3090634471299
"NH0046",2008,18.1621917753425
"NH0046",2009,17.8276098901099
"NH0046",2010,17.1726027369863
"NH0046",2011,17.2596153846154
"NH0046",2012,17.8995856353591
"NH0046",2013,17.6876373681319
"NH0046",2014,26.0794117647059
"NH0046",2015,17.5006042247734
"NH0046",2016,16.2038775183673
"NH0046",2018,16.0598360601093
"NH0046",2019,17.3827143045714
"NH0046",2020,22.4536585365854
"NH0046",2021,17.0754098174863
"NH0046",2022,17.334173692437
"NH0046",2023,24.8267045909091
"NH0098",1956,15.2406593406593
"NH0098",1957,18.3119178082192
"NH0098",1958,18.7884012570533
"NH0098",1959,17.7168539269663
"NH0098",1960,18.9554644754098
"NH0098",1961,18.5857784461078
"NH0098",1962,18.2506849287671
"NH0098",1963,18.7711988333333
"NH0098",1964,18.0569060635359
"NH0098",1965,19.2426027369863
"NH0098",1966,18.3227397150685
"NH0098",1967,18.64876712
"NH0098",1968,18.9250684958904
"NH0098",1969,19.0475975885886
"NH0098",1970,19.2139726027397
"NH0098",1971,18.3789835137363
"NH0098",1972,18.7684426202186
"NH0098",1973,17.6897260246575
"NH0098",1974,18.2108219068493
"NH0098",1975,18.2836986328767
"NH0098",1976,18.0892076530055
"NH0098",1977,18.7491780821918
"NH0098",1978,17.7191780767123
"NH0098",1979,18.009315060274
"NH0098",1980,18.6877049234973
"NH0098",1981,18.2983561534247
"NH0098",1982,18.5734246547945
"NH0098",1983,17.919452060274
"NH0098",1984,17.8129781448087
"NH0098",1985,18.639726030137
"NH0098",1986,18.7719178027397
"NH0098",1987,18.1924657589041
"NH0098",1988,17.9815068438356
"NH0098",1989,18.7990410931507
"NH0098",1990,18.3752054739726
"NH0098",1991,18.2110958958904
"NH0098",1992,17.8189890655738
"NH0098",1993,17.7109116077348
"NH0098",1994,18.7036986246575
"NH0098",1995,18.2058904136986
"NH0098",1996,18.2782786857924
"NH0098",1997,19.5258904027397
"NH0098",1998,17.9258904054795
"NH0098",1999,18.0100274752747
"NH0098",2000,17.9937158497268
"NH0098",2001,18.7230136931507
"NH0098",2002,18.5226648351648
"NH0098",2003,18.2094520547945
"NH0098",2004,18.6251366174863
"NH0098",2005,18.1497260273973
"NH0098",2006,19.0997260273973
"NH0098",2007,17.6994520630137
"NH0098",2008,18.8888732366197
"NH0098",2009,19.2876080720461
"NH0098",2010,18.1304109616438
"NH0098",2011,18.3915068493151
"NH0098",2012,19.480737704918
"NH0098",2013,19.0506849178082
"NH0098",2014,19.6431506849315
"NH0098",2015,21.9651832460733
"NH0098",2016,19.4023529411765
"NH0098",2017,15.2742268041237
"NH0098",2018,20.1487671232877
"NH0098",2019,19.6426997245179
"NH0098",2020,19.9232091690544
"NH0098",2021,21.0148648588589
"NH0098",2022,20.5824657534247
"NH0098",2023,25.6666666666667
"NH0437",1970,19.4973856143791
"NH0437",1971,19.5921917863014
"NH0437",1972,19.7405737677596
"NH0437",1973,19.1537537537538
"NH0437",1974,19.4052215158228
"NH0437",1975,19.8454716981132
"NH0437",1976,19.4000000054645
"NH0437",1977,20.2689041068493
"NH0437",1978,19.8308219178082
"NH0437",1979,19.6182191780822
"NH0437",1980,20.4144808825137
"NH0437",1981,20.3334246657534
"NH0437",1982,20.751095890411
"NH0437",1983,19.6775342465753
"NH0437",1984,19.8338797814208
"NH0437",1985,20.6882191753425
"NH0437",1986,21.0879452054795
"NH0437",1987,19.9480821917808
"NH0437",1988,19.6837431721311
"NH0437",1989,20.1453424657534
"NH0437",1990,20.0582872900552
"NH0437",1991,20.2809589123288
"NH0437",1992,19.7945355245902
"NH0437",1993,19.8683844094708
"NH0437",1994,20.8350684931507
"NH0437",1995,19.815753430137
"NH0437",1996,19.5934426229508
"NH0437",1997,20.7002739753425
"NH0437",1998,19.9468493123288
"NH0437",1999,20.0719178136986
"NH0437",2000,19.8848360628415
"NH0437",2001,20.6894520547945
"NH0437",2002,20.3120547890411
"NH0437",2003,20.2652054821918
"NH0437",2004,20.3233606530055
"NH0437",2005,20.4243835616438
"NH0437",2006,20.9486263736264
"NH0437",2007,19.6642465780822
"NH0437",2008,20.5274590191257
"NH0437",2009,20.5406849369863
"NH0437",2010,19.5461643808219
"NH0437",2011,19.9264383671233
"NH0437",2012,20.9972677622951
"NH0437",2013,20.2654794520548
"NH0437",2014,27.5790322580645
"NH0437",2015,21.0140410465753
"NH0437",2016,19.9112022021858
